rhythmic,total,positive,negative,neutral,top_keywords,avg_score,sentiment_tendency,common_themes
临江仙,480,219,185,76,"[('愁', 22), ('恨', 14), ('风流', 12), ('笑', 11), ('春风', 10)]",0.7506250000000001,积极,"[('情感复杂', 21), ('情感平和', 14), ('情感愉悦', 14), ('情感低沉', 6), ('描绘春日美景', 6)]"
减字木兰花,424,208,160,56,"[('喜', 20), ('愁', 18), ('恨', 13), ('寿', 13), ('祝寿', 13)]",0.7582547169811321,积极,"[('情感愉悦', 15), ('情感复杂', 12), ('情感平和', 8), ('描绘美景', 6), ('词中多愁善感', 4)]"
南乡子,203,73,102,27,"[('愁', 24), ('相思', 6), ('休休', 6), ('凄凉', 4), ('断肠', 4)]",0.7487684729064039,积极,"[('情感平和', 7), ('情感复杂', 7), ('情感愉悦', 5), ('词中多愁绪与无奈', 4), ('描述修炼过程', 3)]"
南歌子,200,84,80,36,"[('愁', 7), ('恨', 6), ('凄凉', 5), ('风流', 5), ('断肠', 4)]",0.7380000000000001,积极,"[('情感平和', 9), ('情感复杂', 5), ('描绘欢乐场景', 5), ('情感愉悦', 4), ('情感积极', 3)]"
卜算子,240,61,144,35,"[('愁', 26), ('冷', 13), ('相思', 9), ('寂寞', 9), ('恨', 8)]",0.7437500000000001,积极,"[('情感平和', 9), ('情感复杂', 4), ('描绘自然美景', 3), ('情感消极', 3), ('情感愉悦', 3)]"
失调名,370,117,164,86,"[('愁', 11), ('好', 6), ('茱萸', 5), ('冷', 4), ('恨', 4)]",0.6956756756756756,积极,"[('情感平和', 28), ('情感愉悦', 11), ('情感积极', 9), ('无明显情感倾向', 7), ('描绘美好景象', 6)]"
好事近,296,153,99,44,"[('春色', 13), ('愁', 10), ('醉', 6), ('恨', 5), ('愁绝', 5)]",0.7479729729729729,积极,"[('情感愉悦', 23), ('情感平和', 12), ('情感复杂', 6), ('描绘春日美景', 6), ('描绘自然美景', 5)]"
念奴娇,432,192,181,59,"[('恨', 15), ('愁', 14), ('憔悴', 12), ('风流', 11), ('凄凉', 9)]",0.7525462962962963,积极,"[('情感复杂', 20), ('情感积极', 7), ('情感愉悦', 6), ('情感平和', 6), ('赞美与祝福的情感', 6)]"
望江南・忆江南,183,87,66,29,"[('好', 13), ('苦', 5), ('愁', 4), ('乐', 4), ('喜', 3)]",0.7568306010928963,积极,"[('情感平和', 14), ('描述修炼过程', 5), ('情感愉悦', 5), ('情感积极', 5), ('期待落空', 2)]"
朝中措,259,139,84,36,"[('春风', 7), ('风流', 7), ('醉', 5), ('清风', 5), ('凄凉', 5)]",0.7552123552123553,积极,"[('情感平和', 11), ('情感复杂', 10), ('情感愉悦', 7), ('描绘自然景色', 4), ('词中充满喜庆与赞美', 4)]"
柳梢青,188,76,90,22,"[('相思', 7), ('风流', 5), ('愁', 4), ('凄凉', 4), ('恨', 4)]",0.7574468085106383,积极,"[('情感愉悦', 8), ('词中透露出孤独与无奈', 4), ('情感低沉', 4), ('情感复杂', 4), ('描绘美景', 4)]"
水调歌头,741,406,188,147,"[('愁', 29), ('笑', 16), ('恨', 15), ('风流', 13), ('一笑', 13)]",0.7483130904183536,积极,"[('情感复杂', 68), ('情感平和', 17), ('情感积极', 8), ('词中充满赞美与祝福', 8), ('词中充满喜庆与赞美', 7)]"
水龙吟,295,114,148,33,"[('恨', 13), ('愁', 10), ('憔悴', 9), ('相思', 9), ('凄凉', 9)]",0.7647457627118645,积极,"[('情感复杂', 12), ('词中多凄凉', 10), ('词中充满赞美与祝福', 5), ('情感低沉', 4), ('词中多愁善感', 3)]"
沁园春,423,225,139,59,"[('叹', 13), ('笑', 13), ('愁', 13), ('喜', 11), ('凄凉', 11)]",0.7737588652482271,积极,"[('情感复杂', 26), ('情感平和', 5), ('词中充满赞美与祝福', 5), ('词中多凄凉', 5), ('超脱世俗', 4)]"
浣溪沙,775,332,290,153,"[('愁', 39), ('风流', 15), ('恨', 14), ('凄凉', 11), ('醉', 9)]",0.7258064516129032,积极,"[('情感复杂', 35), ('情感愉悦', 35), ('情感平和', 31), ('描绘春日美景', 13), ('情感积极', 13)]"
浪淘沙,175,44,105,26,"[('恨', 12), ('愁', 10), ('相思', 6), ('春寒', 5), ('凄凉', 5)]",0.7428571428571429,积极,"[('情感愉悦', 6), ('情感复杂', 5), ('描绘春日美景', 5), ('情感平和', 4), ('词中多愁绪与无奈', 4)]"
清平乐,354,137,173,44,"[('愁', 20), ('恨', 9), ('独倚', 8), ('怨', 6), ('相思', 6)]",0.7497175141242938,积极,"[('情感平和', 16), ('情感愉悦', 11), ('情感复杂', 8), ('情感低沉', 6), ('描绘春日美景', 5)]"
渔家傲,256,104,109,43,"[('愁', 19), ('笑', 9), ('恨', 5), ('年少', 3), ('相思泪', 3)]",0.7410156250000001,积极,"[('情感平和', 13), ('情感复杂', 6), ('情感愉悦', 5), ('情感积极', 5), ('描绘冬日景象', 3)]"
满庭芳,327,200,92,35,"[('风流', 12), ('笑', 8), ('恨', 8), ('愁', 7), ('功名', 6)]",0.7850152905198776,积极,"[('情感复杂', 12), ('情感积极', 8), ('词中充满欢乐与赞美', 6), ('词中多凄凉', 4), ('描绘自然美景与闲适生活', 4)]"
满江红,547,245,244,58,"[('恨', 28), ('愁', 20), ('相思', 14), ('叹', 13), ('笑', 11)]",0.7753199268738574,积极,"[('情感复杂', 20), ('词中多凄凉', 9), ('词中充满喜庆与祝福', 8), ('情感愉悦', 6), ('词中充满赞美与祝福', 4)]"
点绛唇,389,144,199,46,"[('愁', 27), ('恨', 15), ('醉', 10), ('相思', 8), ('暮', 5)]",0.751413881748072,积极,"[('情感愉悦', 17), ('情感平和', 10), ('情感复杂', 10), ('描绘春景', 9), ('描绘美景', 4)]"
玉楼春,211,70,122,16,"[('愁', 22), ('恨', 12), ('相思', 8), ('泪', 7), ('无情', 4)]",0.7431279620853081,积极,"[('情感积极', 5), ('词中多愁善感', 4), ('情感复杂', 4), ('词中充满喜庆与祝福', 3), ('超过最大重试次数', 3)]"
生查子,178,51,94,33,"[('愁', 15), ('相思', 13), ('寒', 7), ('别离', 5), ('怨', 4)]",0.7320224719101124,积极,"[('情感复杂', 7), ('情感平和', 7), ('情感愉悦', 5), ('描绘春日美景', 4), ('词中透露出孤独与无奈', 3)]"
菩萨蛮,598,175,331,92,"[('愁', 64), ('寒', 24), ('断肠', 16), ('相思', 15), ('醉', 15)]",0.7374581939799331,积极,"[('情感平和', 24), ('情感复杂', 20), ('情感愉悦', 18), ('情感低沉', 9), ('描绘春日美景', 8)]"
蓦山溪,185,80,86,19,"[('愁', 17), ('寂寞', 11), ('相思', 8), ('怅望', 6), ('憔悴', 6)]",0.7659459459459459,积极,"[('情感复杂', 6), ('赞美自然与君恩', 3), ('词中多愁善感', 3), ('词中多悲愁之语', 3), ('既有淡然也有忧郁', 2)]"
虞美人,299,75,190,34,"[('愁', 26), ('恨', 15), ('泪', 7), ('相思', 6), ('怨', 6)]",0.7474916387959866,积极,"[('情感复杂', 10), ('情感平和', 5), ('词中透露出离别与无奈', 4), ('情感低沉', 4), ('词中透露出孤独与无奈', 4)]"
蝶恋花,413,128,215,69,"[('愁', 24), ('恨', 16), ('相思', 14), ('寂寞', 11), ('凄凉', 9)]",0.7409200968523004,积极,"[('情感复杂', 24), ('情感平和', 19), ('情感愉悦', 10), ('描绘春景', 8), ('词中多愁善感', 5)]"
西江月,490,240,139,111,"[('愁', 10), ('肠断', 10), ('春风', 8), ('风流', 7), ('相思', 6)]",0.7338775510204082,积极,"[('情感平和', 35), ('情感愉悦', 14), ('情感复杂', 13), ('情感积极', 8), ('描述修炼过程', 7)]"
谒金门,234,37,176,20,"[('愁', 31), ('恨', 8), ('寂寂', 5), ('寒', 5), ('断肠', 5)]",0.747008547008547,积极,"[('词中透露出孤独与无奈', 5), ('情感平和', 5), ('情感复杂', 5), ('词中多愁绪与孤独', 3), ('情感低沉', 3)]"
贺新郎,361,118,203,40,"[('恨', 20), ('凄凉', 12), ('愁', 11), ('叹', 9), ('喜', 9)]",0.7637119113573408,积极,"[('情感复杂', 21), ('词中多凄凉', 8), ('词中透露出孤独与无奈', 5), ('词中多愁善感', 4), ('词中多悲凉之语', 3)]"
踏莎行,202,64,111,27,"[('愁', 15), ('相思', 6), ('恨', 5), ('凄凉', 5), ('断魂', 4)]",0.757920792079208,积极,"[('情感复杂', 11), ('情感愉悦', 6), ('情感平和', 4), ('描绘春日美景', 4), ('词中多愁善感', 4)]"
鹊桥仙,177,74,70,33,"[('愁', 4), ('盛事', 4), ('肠断', 3), ('春愁', 3), ('笑', 3)]",0.73954802259887,积极,"[('情感平和', 11), ('情感复杂', 7), ('情感积极', 4), ('情感深沉', 2), ('情感愉悦', 2)]"
鹧鸪天,649,363,216,69,"[('愁', 30), ('恨', 16), ('相思', 16), ('醉', 13), ('风流', 13)]",0.7719568567026194,积极,"[('情感复杂', 22), ('情感平和', 16), ('情感愉悦', 15), ('情感积极', 13), ('词中透露出孤独与无奈', 9)]"
